متن سوال,گزینه ۱,گزینه ۲,گزینه ۳,گزینه ۴,گزینه صحیح,لینک تصویر
رانندگان کلیه وسایل نقلیه موظفند از کدام خط عبور راه حرکت نمایند؟,خط وسط,سمت راست,سمت چپ,خط زیگزاگ,سمت راست,
این تابلو بیانگر چیست؟,تراکم ترافیک,جهت عبور در میدان,پیچ به چپ,میدان,جهت عبور در میدان,blob:https://web.telegram.org/53369900-0dfe-420b-b6b7-9f51d9744401
به هنگام ترکیدن لاستیک کدام مورد را باید انجام داد؟,دنده را تعویض کرده و سس ترمز کنید.,فرمان را به شدت و محکم بگیرید و اجازه دهید اتومبیل خود به خود متوقف شود.,ترمز کرده و سریع متوقف کنید.,فرمان را شل بگیرید و محکم ترمز کنید.,فرمان را به شدت و محکم بگیرید و اجازه دهید اتومبیل خود به خود متوقف شود.,
اسم این تابلو چیست؟,ورود ممنوع,توقف ممنوع,ورود از هر دو طرف ممنوع,راه مسدود است.,ورود ممنوع,blob:https://web.telegram.org/4a6453a7-9cda-4a02-aee8-ba6d242d9901
در باتری های آبی میزان آب باتری چه موقع مورد بررسی قرار می گیرد؟,هر ۵ هزار کیلومتر,هر ۲۰ هزار کیلومتر,هر ۱۵ هزار کیلومتر,هر ۵ هزار کیلومتر,هر ۵ هزار کیلومتر,
(دیر رسیدن بهتر از هرگز نرسیدن است) جمله چه مفهومی را می رساند؟,پرهیز از عجله و شتاب در رانندگی,با سرعت بالا حرکت کردن از صحنه حادثه,عدم توجه به قوانین و مقررات, رعایت کردن قوانین مربوط به پارک,پرهیز از عجله و شتاب در رانندگی,
بازگذاشتن در صندوق عقب وسایل نقلیه در حال حرکت …,مجاز است,در صورت داشتن بار مجاز است,در صورت رعایت سایر شرایط مجاز است,ممنوع است.,ممنوع است.,blob:https://web.telegram.org/02f82c62-5a4c-4104-8861-6b74f715a10b
تابلو زیر به چه معناست ؟,فقط عبور مستقیم مجاز,راه یک طرفه,خیابان یک طرفه,فقط عبور به راست مجاز,خیابان یک طرفه,blob:https://web.telegram.org/95a01829-fb03-4080-aa77-18dccdbe967a
کدام گزینه در مورد ضدیخ صحیح نمی باشد؟,مایع ضد یخ از یخ زدگی آب در سرما جلوگیری می کند,عدم استفاده از ضدیخ در تابستان می تواند منجر به جوش آوردن زودتر موتور شود.,ضدیخ در جلوگیری از زنگ زدگی رادیاتور و قطعات سیستم خنک کاری موثر است., بهتر است کل مخزن رادیاتور به جای آب از ضد یخ پر شود, بهتر است کل مخزن رادیاتور به جای آب از ضد یخ پر شود,
 نام این تابلو چیست؟,گذرگاه عابر پیاده,عبور پیاده ممنوع,عبور اطفال,عبور عابر پیاده,گذرگاه عابر پیاده,blob:https://web.telegram.org/fcdf01df-ba33-4736-9743-cc4425dc9647
کدامیک از پاسخ های زیر در خصوص نقص در سیستم جلوبندی و یا شکستگی آن صحیح می باشد؟, تایر های عقب خودرو ساییده میشود.,مصرف سوخت افزایش میابد.,هدایت و کنترل خودرو از دست راننده خارج میشود.,رادیاتور خودرو جوش می آورد.,هدایت و کنترل خودرو از دست راننده خارج میشود.,
